,RMSE,MAE,MAPE,sMAPE,MASE,DirAcc,Theil_U
LightGBM,0.12275735663662315,0.09143291846236323,0.09102521658406362,0.09104666381498054,0.18354288271688093,100.0,0.37870220058782245
XGBoost,0.13177925114354871,0.07320546468099091,0.07279570873467306,0.07286546334486951,0.14695300384301657,100.0,0.40653443318759636
Stacking,0.13266533094248645,0.0740868614713257,0.07367186209314172,0.073743856715106,0.14872232402261956,100.0,0.4092679587289408
GradientBoosting,0.13447287692938403,0.06122510358387482,0.060802865023763406,0.06088369274984798,0.12290356903624067,100.0,0.4148441755981918
WeightedAverage,0.17041604753905343,0.13199315459429664,0.13152002054128178,0.13154661829752082,0.26496369688893284,81.81818181818183,0.5257276141058962
ElasticNet,0.18009537862105582,0.07792425210160185,0.07764240754024447,0.07748548728233184,0.15642552053254566,100.0,0.5555880158073029
RandomForest,0.18563499102516684,0.08880256199344316,0.08825862950393172,0.08840376764446176,0.17826269242002069,100.0,0.5726775285283235
ARIMA-LSTM,0.19809941639406708,0.18055876354029485,0.18008328204717491,0.1800447461391029,0.36245453516419246,36.36363636363637,0.6111298498033563
SARIMA,0.19972785653853245,0.18208140857118593,0.18161717819512813,0.18156216910281398,0.3655111001631466,36.36363636363637,0.6161535313417269
Prophet,0.19972785653853245,0.18208140857118593,0.18161717819512813,0.18156216910281398,0.3655111001631466,36.36363636363637,0.6161535313417269
KNN,0.20052423531352054,0.15676665501071696,0.15614031313095647,0.15619175748140585,0.3146941414365312,63.63636363636363,0.6186103323258192
SimpleAverage,0.2310455014982,0.19921909283702277,0.19864623767309741,0.19857910333120907,0.3999133704410905,81.81818181818183,0.71276738315805
Theta,0.25985614838140864,0.18352869816008996,0.18290182900509447,0.18319025221394,0.36841639628341555,45.45454545454545,0.8016472325940938
HoltWinters,0.2679434090965264,0.2286813965153923,0.22822312220504193,0.22817196171551088,0.4590561413331084,36.36363636363637,0.8265961522633923
ETS,0.2691265119955579,0.23022273072151123,0.22976025013983492,0.22971192833310772,0.46215022307280107,36.36363636363637,0.8302459837982252
SES,0.29971479882099,0.21250000000000333,0.21168329288199397,0.21184532135711454,0.42657352771029244,0.0,0.924609790989775
MovingAverage,0.303713132193306,0.21416666666666848,0.21348014112016553,0.21350715780091076,0.42991920243742887,0.0,0.936944511191204
Holt,0.30559374625911007,0.21512128794779528,0.21420540392071363,0.2144635015475614,0.43183551381398216,36.36363636363637,0.9427461405573739
ARIMA,0.3163017818603095,0.23317111877638652,0.23237707724631934,0.23245802551850497,0.46806883151339884,27.27272727272727,0.9757800601305261
Naive,0.3241527417746158,0.22250000000000134,0.22143239561415515,0.22183101908197522,0.44664757607312544,0.0,1.0
Drift,0.3541625359094005,0.25608309317963557,0.2548592262952378,0.255393508628885,0.5140624397392892,36.36363636363637,1.092579177243704
SeasonalNaive,0.4160428663811757,0.2991666666666646,0.2982420269072701,0.2978863715906039,0.6005486135215353,36.36363636363637,1.283477857085199
GRU,0.4358574271557447,0.35421751927585277,0.3529191502639608,0.3537423710671346,0.7110579612907607,36.36363636363637,1.3446050919377923
LSTM,0.48815577640107266,0.4094122328919679,0.4082453530611825,0.4075831025128014,0.8218560963410438,45.45454545454545,1.5059436910161588
SVR,0.6616225342760463,0.6242961903342774,0.6234003379696027,0.621257769119827,1.2532151917505163,0.0,2.04108264102259
BiLSTM,0.9793335107326835,0.905736250678706,0.9042971903179462,0.8996618524881095,1.818179330009898,45.45454545454545,3.021210017756433
CNN-LSTM,1.883758749629569,1.3660433603699207,1.362350164812518,1.3456470240049792,2.742202048179813,72.72727272727273,5.81133060703633
