Target,Model,RMSE,MAE,MAPE,sMAPE,NormMAPE,DirAcc
cpi_mom,LSTM,0.3092901954261644,0.22549212137858157,0.22483131357941522,0.2247975372847598,0.0022428368757558483,45.45454545454545
cpi_mom,GRU,0.3385158551630719,0.2708177947998062,0.2700866732643417,0.26996225128198675,0.002694288179006343,63.63636363636363
cpi_mom,MLP,0.2842074260698981,0.20028745015462354,0.19955909006519826,0.19961183933062068,0.0019907302010776845,45.45454545454545
cpi_mom,Transformer,0.2999663293366106,0.21250000000000333,0.21174884325962112,0.2118453415761099,0.002112330824832246,0.0
cpi_mom,Seq2Seq,0.32643802373230724,0.2551949310302746,0.2545083918843177,0.2543970396241335,0.0025388848084359123,36.36363636363637
cpi_yoy,LSTM,1.088745902516878,0.7899839782714851,0.7664095257651627,0.761086070940403,0.0073948012456235045,54.54545454545454
cpi_yoy,GRU,3.3287053907134876,2.6973251342773437,2.6126898444285485,2.5616785953175967,0.025208875237712133,54.54545454545454
cpi_yoy,MLP,0.8394390728508794,0.717121200561523,0.6908048938841638,0.6940706254307747,0.006665320195071131,36.36363636363637
cpi_yoy,Transformer,1.9708880264783915,1.8555104573567707,1.7945008241105742,1.7764668475847536,0.017314472854648943,0.0
cpi_yoy,Seq2Seq,1.4130903441808549,1.0028467814127602,0.9732096290641935,0.9638810614802851,0.009390138738257073,54.54545454545454
