Target,Model,Train RMSE,Val RMSE,Test RMSE,Test MAE,Test MAPE,Test sMAPE,Test NormMAPE,Test DirAcc
cpi_mom,Random Forest,0.014200953729507956,0.022923568667280896,0.014189517742323882,0.012493818863752892,0.01245698340949162,0.012456412357151413,0.00012426641692691963,100.0
cpi_mom,XGBoost,0.0011717354098347596,0.037816924713589495,0.05462067644697382,0.038415603637697394,0.03830461706982034,0.03831680046693004,0.0003821131776893453,90.9090909090909
cpi_mom,LightGBM,0.004531629958818328,0.017193621359169624,0.014787207868442643,0.010143679083117974,0.01009998524165499,0.010099342183746253,0.00010075384511140289,100.0
cpi_mom,Linear Regression,0.008793710391320332,0.0028099607773097255,0.004743445285641536,0.0036617609322166325,0.003650576011665084,0.003650654704337855,3.6416842326636635e-05,100.0
cpi_mom,Ridge,0.056769232035428774,0.027355195713039,0.02673415985992786,0.02025339758724461,0.02018473574633235,0.02018449419433551,0.00020135571392848142,100.0
cpi_mom,Lasso,0.18705393729694916,0.12259608778362019,0.09574380880573467,0.07035537649091357,0.0701520805634721,0.07014782146618474,0.0006998120977626837,100.0
cpi_mom,ElasticNet,0.1731913207544728,0.11077485150124175,0.09258002706212962,0.06894462019644838,0.0686986206868421,0.06870814835254486,0.000685312901201321,100.0
cpi_mom,SVR,0.06887326605320246,0.05041871695524205,0.0549728000271157,0.043117349617248855,0.04302671034030301,0.04301880296406725,0.0004292190934498567,100.0
cpi_yoy,Random Forest,0.11359292033756405,0.07044229172988706,0.06514887682262833,0.05354136211901661,0.051610334015496126,0.051604484488928015,0.000497968970158361,81.81818181818183
cpi_yoy,XGBoost,0.004604828534427458,0.12416464392961983,0.17849641685542764,0.1348199717203767,0.13013374321431523,0.1301043711922017,0.0012556122204484866,45.45454545454545
cpi_yoy,LightGBM,0.016057047268729453,0.1093151291905518,0.07292562390849884,0.04444875298408727,0.042913621739428184,0.042893199165496276,0.00041405761909876835,90.9090909090909
cpi_yoy,Linear Regression,0.26178658987247483,0.14660576020607172,0.1353018236542035,0.10951779558086135,0.10588988884449602,0.10585784232282618,0.001021692261907174,72.72727272727273
cpi_yoy,Ridge,0.35955770442475365,0.22018284400434512,0.17769559266557725,0.15754707381705302,0.15192203876508462,0.15198812408659035,0.0014658394027345946,63.63636363636363
cpi_yoy,Lasso,0.6030098912374376,0.2498074160310491,0.22663741873162283,0.16909883373586845,0.16371288202797746,0.16350703048526175,0.0015796048760438445,72.72727272727273
cpi_yoy,ElasticNet,0.6699502969221349,0.30194507989621655,0.2999831585598267,0.23540546939728438,0.22795460273700835,0.22759881172509647,0.002199449411308274,72.72727272727273
cpi_yoy,SVR,0.8343809789120848,0.2459599233004968,0.42569873108919254,0.30336615150235485,0.2943978006582975,0.29354585373494096,0.0028405351836452283,90.9090909090909
